RATE,Role,Seniority,Location,Years,Company,Gender,Union
$2600/week USD,Line Producer - Stop Motion,Senior,"Los Angeles, CA",10+,Stoopid Buddy,Female,No
"3,600 €",Location designer,Senior +,Ireland,17,,Female,Yes
"1,550 €",Location Designer,Experienced,Canada,4,Tonic DNA,Male,No
"26,000 €",Location Designer,Junior,West Europe,2,,Female,
$1550 CAD,Location Designer,Experienced,Canada,4,TonicDNA,Male,No
"68,000 CAD/year",Location Designer,Mid,Toronto,3,,Male,No
"$96,200 CAD/yr",Look Development Artist,Mid,"Vancouver, BC",3,,Female,No
"$74,880 CAD annually ($36/hour)",Look Development Artist,Mid-level,"Vancouver, Canada",3,,Female,
95000.00,Look Development Artist,Senior,"Burbank, CA",5,Nickelodeon,Male,"Yes, 839"
"US $ 58.721 hr. Weekly 2,642.445",Look Development Artist,Journeyman 1,Los Angeles,13,,Female,yes
100k Cad,Lookdev,Senior,Canada,7,,Female,No
2.300€ monthly (before taxes),Lookdev Artist,Junior,Germany,2,Pixomomdo,Male,
$98k CAD,Lookdev TD,Mid,Vancouver,"4,5",,Female,No
65.000 CAD yearly,Lookdev TD,Artist,Montreal,2,DNEG,Male,
68k,LP,Junior,MTL,6,,Female,No
2.60 €,LY/BG,Mid,Ireland,3,,Male,
"£30,000",Management,Assistant,London,1,,Female,
"€40,000 p/a",Manager,Mid-level,Ireland,5+,,Female,
"$60,000 USD ",Marketing Coordinator ,Mid Level,Northern CA,3,,Female,No
40000.00,Marketing Graphic Designer,Intermediate,London UK,4,,Female,No
"£40,000",Marketing Graphic Designer,Intermediate,London UK,4,,Female,
"? 8,40,000 (INR)/ year",matchmove/Rotomation artist,Mid artist,"Mumbai, India",4,Outpost,Male,No
"88,000 (CAD)",Matte Painter,Mid,Vancouver,8,Sony Imageworks,Male,No
110000cad,matte painter,n/a,toronto,10,,Female,
£400 day,matte painter,senior,Europe & UK,12,,Female,no
110K CAD/year,Matte painter,Senior,Vancouver ,10,,Female,no
52k CAD,Mid Surfacing artist,Mid,Vancouver,1,Bardel,Male,no
$25/hr,Model Maker,Junior ,Portland Oregon ,4,,Female,Nah
"16/hr, 33k salary USD",model maker ,jr,Portland,5 years applicable professional exp. ,,Female,Nope 
$25/hr US,Model maker-Art Department ,Junior ,Portland ,4,,Female,
"48,000 CAD",modeler,junior,Canada,1,,,
"75,000 CAD",Modeler,Senior,Toronto,10+,,Male,No
146k/yr USD,Modeler,Lead,Los Angeles,11,,Male,TAG 839
"$90,000 (CAD)",Modeler,Senior,Vancouver,11,Sony Imageworks,Female,nope
30.000 €/year,Modeler,Mid,Spain,4,Skydance,Male,
38.46 hr /80k yr CAD,Modeler,Mid,Vancouver,2,,Female,No
78 000,modeler,mid,Vancouver,18,Sony Imageoworks,Male,no
$1200 USD / month,Modeler & Texturing Artist,Junior,Costa Rica,1 year and 6 months,,Female,No
$130k CAD,Modeling,Supervisor,Montreal,8,,Male,no
55 cad,Modeling & surface artist,Mid,Cad,3,,Male,No
50k year,Modeling 3D,Between Junior/Mid,Montreal,2,Cinesite Anim MTL,Female,non
100000.00,modeling games,,,3,,,
"€ 40,000",Modeller,Mid Level,Dublin,4,,Male,No
"£35,000",Modeller ,Junior ,London UK,First Job,,,
"32,000 pounds",mograph,,UK,6,,,
90000.00,mograph,lead,Brooklyn,8,,Female,
85000.00,mograph,mid,remote,,,,
800/day,mograph,senior,,8,,Male,
"$100,000 USD",Mograph Artist,Mid,San Francisco,3,,Female,No
60000 CHF,mograph/2D animator for advertising,Junior,Switzerland,3,,Female,No
60000$ CAD,motion & graphic designer,Mid ,"Ottawa,ON, Canada",10,GustoTv,Female,nope
35/hr USD,Motion Capture Animator,Junior,"California, USA",7,,Male,
$24.50/hr USD,Motion Capture Intern,Intern,"Los Angeles, CA",1,,,
2100€ month (after taxes),Motion Capture TD,Mid,France,4,,Male,Nope
55 000 USD,Motion Capture Technician,N/A,US,1,,Non Binary,No
$30 USD/hr,Motion Capture Technician/Animator,N/A,NY,2,,Female,No
$17 USD/hr or $1/ chr sec,Motion Capture Tracker,N/A,LA,2,,Female,No
60k USD/year,Motion design ,Junior,Boston,0,,Female,
31.200€/year before taxes,Motion Design / 2D ,Mid,Germany,~ 3,,Female,
30k €,Motion Design / 2D Animator,Junior,Germany,1,,Female,
AU 48K/year,Motion Designer,Junior ,Sydney,1,,Female,
"$60,000/ year",Motion Designer,Mid (senior above me but not a junior),"Marietta, Georgia",6,Between Pixels,Female,No
"BRL 104.000,00 PER YEAR",Motion designer,Mid,Brazil,3,,Male,
55k CAD,Motion Designer,Junior/Mid,"Vancouver, BC",5,Sprung Studios,Male,
42.000 BRL,Motion Designer,Mid,Brazil,5,,Male,
"AUD$95,000",Motion Designer,Senior,"Sydney, Australia",7,,Female,no
"£36,000",Motion Designer,Mid,London,2,,Male,No
"£25,000",Motion Designer,Junior,London UK,1 year,Blue zoo Animation Studio,Female,No
"$55,000 USD",Motion Designer,Senior,"Remote - based in NY, NY, USA",5,,Female,No
60000.00,Motion Designer,Mid,"Columbus, Ohio",5,,Male,No
130K USD,Motion Designer,Senior,NYC,4,Edelman- Revere,Female,No
R$78000/year,Motion Designer,Senior,Minas Gerais / Brazil,10+,Syngenta Digital Brasil,Male,no
"95,000 AUD",Motion Designer,Senior,"Sydney, Australia",13,,Female,No
IDR 6.6 million = USD 460 (monthly),Motion Designer,Mid,"Jakarta, Indonesia",6 years,,Male,No
Sgd63000/annum,Motion designer,Senior,Singapore,7,,Other,No
"1,363 dls",Motion designer ,Senior,Mexico,8,,Male,No
10000 aed,Motion designer ,Mid weight,"Abu Dhabi, uae",4,,Male,Unsure
60K USD,Motion Designer / 2D Generalist,Mid-Level,"Portland, Oregon",5,,Female,No
93000.00,Motion Designer / Video Editor ,Mid- level,Washington DC,6,Wunderman Thompson Health,Male,No
"£32,000",Motion Designer Film/TV industry ,Mid,London ,4 years,Post house in soho,Female,"No, not sure"
68k USD,Motion Designer/ video Editor,junior,New York City,2,Sony Music,Female,no
520000 NOK,Motion Designer/generalist,Mid,Norway,7,,Male,
30900 € after taxes,Motion Designet,Middle ,Cyprus,"Hard to count, depends ",,Female,No
"8,400,000 IDR/month",Motion Graphic Artist,Junior,"Jakarta, Indonesia",3,Satu Collective,Female,
$30 an hour,Motion Graphic Artist - Entertainment Ad Agency,Mid,Los Angeles,3,,Male,No
"£24,250 GBP",Motion graphic designer,Junior-mid,UK,3,,Female,
"£32,500",Motion Graphic Designer,Mid,"London, UK",6,Relish Creative,Male,No
50k CAD/year (before tax),Motion Graphic Designer,Jun/Mid,Montreal,3+,,Female,No
£25k,Motion graphic designer ,Junior,London,1,,Female,
85000.00,Motion Graphics,Lead,Dallas,8,,Male,
$60 USD/ hour,Motion Graphics and Compositor,Mid - Senior Level,"Burbank, California",8,Freelance,Female,No
$75.000 USD,Motion graphics Animation director,Senior,"LA studio, working remotely from Spain",7,Motion graphics studio in LA,Male,No
"£40,000",Motion graphics animator,Mid weight ,London,4,,Male,No
64000.00,Motion graphics animator,Ur average Joe,Remote position,3,Consumer Acquisition by Brainlabs,Female,Nope
"$80,000 AUD p/a before tax",Motion Graphics Animator,Senior,Australia,4,,Female,No
$700/day USD,Motion graphics animator / AR filter creator,Sr,Los Angeles,9,,Female,No
800 USD/Day,Motion Graphics Artist,Senior,Brooklyn,11,Freelance,Male,
110000.00,Motion Graphics Artist,Senior,Los Angeles,15,,Male,No
$65000 USD before taxes,Motion Graphics Artist,Junior,"Los Angeles, CA",3,,Male,
"95,000 AUD",Motion graphics artist ,Mid,Sydney australia,44657,,Female,Not yet
110k/yr salary $80/hr freelance,Motion graphics designer,Senior,San Francisco,6,,Female,No
6000 euro,Motion graphics designer,senior,"Budapest, HU",11,,Male,
6000 euro,Motion graphics designer,senior,"Budapest, HU",11,,Male,
"78,000/year CAD",Motion Graphics Designer,Mid,Vancouver,8,Atomic,Male,
"$60,000/year",Motion Graphics Designer,Mid,"Portland, OR",6,Blue Chalk Media,Male,no
£30 000,Motion graphics designer,Junior,London,2,,Non Binary,No
"£42,000",Motion Graphics Designer,Mid,London,5,,Male,No
$750 per day ,Motion graphics designer / art director ,Senior ,New Jersey ,9,,Female,
106000.00,Motion graphics/animator,Senior,Washington DC,10,News ,Female,Yes
"£38,000",Motion/ UI Designer/ Graphic Designer,Intermediate,London UK,2 years,,Female,No
26400€ / yearly net,n/a,junior,Kilkenny,4,,Female,
"80,000 Euro",NFT Artist,,,,,,
60000.00,Online editor/vfx,Freelance,London,7,,Male,No
$900 CAD a week,Paint Artist,Junior,Vancouver,1,Atomic Cartoons,Male,No
"£25,000",Paint roto artist,Mid,London,4,Framestore ,Male,No
132000.00,Pipeline,Senior,Vancouver,7,,Male,No
"98,000K USD",Pipeline TD,Mid-level,San Francisco,5,,Female,no
$154000 USD,Pipeline TD,Supervisor,Los Angeles,12,,Female,Animation Guild
$32 USD/hr,Pipeline TD,Junior,Los Angelas,1,Halon Entertainment,Female,No
93k CAD,Pipeline TD,Senior,Canada,8,,Female,
93k usd / year,pipeline TD,mid,"california, remote",7,,Male,none available
"$69,000 CAD",Pipeline TD,Junior,Vancouver,3,Sony Pictures Imageworks,Male,
78000 CAD,Post coordinator ,Mid,"Vancouver,BC",3,,Male,
"$140,000 USD",Previs,Senior,Los Angeles,10+,,Male,Animation Guild
88500 CAD,Previs ,Mid,Vancouver,3,,Female,No
25/hour,previs anim,,LA,1,,,
67000.00,previs anim,,LA,2,,Female,
USD 42.50/hr,Previs anim,Senior/Lead,LA,6,,Female,No
$1425 USD a week,Previs Artist,Junior,LA,<1,,Male,No
$1425 USD a week,Previs Artist,Junior,LA,<1,,Male,No
105 000/year. 45 hrs/week,Previs artist,Middle,USA ,3 years,MPC,Female,No
$28/hr USD,Previs Artist,Mid,Atlanta,2,,Female,No
"CAD 75,000/ year",Previs artist,Intermediate ,Toronto,6 years,,Female,No
$2800 per week,Previs Artist,"Never been specified, but probably Senior?",Los Angeles,8+,,Female,"Yes, The Animation Guild"
79k GBP a year,Previs artist,Lead,UK,16,,Male,No
1710 USD/week,Previs artist,Junior,Los Angeles,2,,Female,no
"£48,000",Previs Artist,Senior,London,6,,Male,
80600 CAD,Previs artist ,Senior,"Toronto, ON",6,,Female,No
146.00,previs supe,,LA,20,,,
65/hr USD,Previs/Layout Artist,Senior,Los Angeles,8+,,Female,TAG
$95k,Previs/postvis Artist,Mid,Los Angeles ,5 years,,Female,No
"$61,000 USD/year",Previs/Postvis Artist,Junior,Los Angeles,1,"The Third Floor, Inc.",Non Binary,No
$120k/year,Previs/Postvis Artist,Supervisor,LA,6,TTF,Non Binary,No
$50/hr,Previs/postvis artist,Mid,Los Angeles,5 years,,Female,No
$52 an hour USD/ 45 hr work weeks,Previs/Postvis Artist ,Mid,Texas,5,Day For Nite,Female,no
"$124,000 USD per year ($50 hourly rate, 45 hour weeks)",Previs/Postvis Superivsor,Supervisor (Senior artist when not supervising a show),Los Angeles,7 years,Prefer to stay anonymous on company name,Male,No
"149,195$CAD/year  | 2869$CAD/week",Previz/PostViz animator ,Unspecified  ,"Work from home in Vanvouver, but the whole team is in LA","10 as animator, 1 as PreViz, 2 as PostViz ",Paramount ,Male,No
50.000 year,Prod Coord ,Starting,Canada,0,,Female,
300 GBP per day,Producer,Junior,London,2 years,,Female,No
IDR 10000000,Producer,Junior,Indonesia,1,,Non Binary,
"£65,000 plus annual bonus",Producer,Senior,London,10+ years,,Female,No
6150 USD / mo ,Producer,Mid,Denmark,5,,Female,no
£1250 per week,Producer,Senior,London,15 years,,Non Binary,No
£350 a day,Producer,Senior,London,11 years,,Non Binary,No
20.000.000 IDR / month,Producer,Junior/Mid,Indonesia,8,,,
65000.00,Producer,Senior,Midwest - USA,7 Years,,Female,No
35/hour USD,Producer ,Junior,"California, USA",2,,Female,No
$2100 Cdn week,Producer ,Senior,Vacation,15,,Female,No
8.40,Producer coordinator,MID,Venezuela -working remotely in mexico,5+,,Female,No
104000.00,"Producer, Gameplay",Mid,Los Angeles,5,Riot Games,Female,No
"95,000 USD",Production,Mid,New York,3,,Female,
98000.00,production,,,11,,Female,
"80,000 CAD",production,mid,Canada,5,,,
72000.00,production,senior,,8,,,
"62,400 cad",production,,Toronto,,,,
"32,000 cad",production,,Canada,2,,Male,
140000.00,production,,,10,,Female,
42000.00,Production,Coordinator,"Burbank, CA",3,DW,Female,No
$25USD/hr (40hr/wk limit),Production & Script Coordinator,Junior,"Los Angeles, CA",4,,Male,No
$22.50 USD/hr,Production Assistant,-,"Los Angeles, CA",1+,Netflix,Female,No
100 euro a day,Production Assistant,3 years experience but somehow not good enough to be a coord lol,Dublin,3,,Male,We have no union in Ireland.
20.000€/year ,Production Assistant,Assistant,Madrid/ Spain,0,Skydance,Non Binary,
"$46,000 AUD",Production Assistant, ,Sydney,1,,Female,No
$19 USD/hour,Production Assistant,Junior,"Burbank, California",1,Nickelodeon,Female,No
20.70USD/hr ,Production Assistant,-,"Los Angeles, CA",4.5 years,Fox - 20tva,Female,No - production staff doesn't have a union
18 USD p/h,Production Assistant,entry-level,"Los Angeles, US",2,,Non Binary,No
€21k,Production Assistant ,Junior,Ireland ,1,,Female,No
500 €,Production Assistant ,Stagist ,Italy,0,Doghead Animation ,Male,
20k Euro/ 1300€ per month,Production Assistant ,-,Spain,3,,Female,Not yet
20$ USD,Production Assistant ,Starting,"Burbank, Ca",1,Bix Pix Entertainment ,Male,No 
Day rate - £135 ,Production assistant ,Entry level,UK,1 year,,Female,No
$21.25/hour pre-tax,"Production Assistant, Animation Development",hah,Remote,0 (for development),,Female,
$78 000 AUD,Production Coord ,Senior ,"Sydney, Australia ",7,,Female,No 
"$54,500 CAD ",Production Coordinatir,Junior/Mid,Toronto Ontario,2,,Female,
"$62,000 AUD",Production Coordinator,Mid,"Sydney, Australia",5,,Female,No
"£28,000",Production Coordinator,Mid,London,1,MPC,Female,
26/hr USD,Production Coordinator,Mid,Los Angeles,6,,Female,no
$52000 CAD,Production Coordinator,Intermediate,Halifax,3,,Female,No
25.00,Production coordinator,Senior,Spain,3,,Female,
558.10$ / month,Production Coordinator,Middle,Somewhere in Asia,3 Years,,Female,No
$900 USD per week. Take home is about $525 per week after taxes and insurance.,Production Coordinator,N/A,Los Angeles,3,Nickelodeon,Female,I wish
55 000/year CAD,Production Coordinator,mid,"Ontario, Canada",4,,Female,
47 000$ CAD,Production Coordinator,Junior,Montreal,0,Mr. X/MPC,Female,
62k,Production Coordinator,N/a,Vancouver,1,,Female,No
"$26.75/hour, $1070/week in USD",Production Coordinator,N/A,"Los Angeles, CA, USA",<1 year,Dreamworks,,No
63000 $cad,Production coordinator,N/A,Montreal,5,,Female,
$1150/wk,Production coordinator,Mid,Los Angeles,3,,Female,No
"1,350 CAD a week, 70,200 CAD Salary",Production Coordinator,Senior,"Vancouver, Canada",4,Atomic Cartoons,Male,No
$1200/week,Production coordinator,? Senior? ,Los Angeles CA ,5,Shadowmachine,Female,No
"$52000/year ($1000/week, $25/hr)",Production Coordinator,na,Burbank CA USA,3,Nickelodeon,Female,No
IDR7000000,Production Coordinator,Middle,Denpasar ,2,Brown Bag Films ,Female,No
34 an hour usd,production coordinator,senior,Emeryville CA,6 years,pixar,Male,no
"$24/hr - $962/weekly - $50,024/annual USD",Production Coordinator,Junior,NY/CA,2,WDAS,Female,No
72300.00,Production Coordinator,Mid,California,2,,,No
"60,000/yr cad",Production Coordinator,Sr.,Vancouver,4,ILM,Female,No
$1200/wk,Production Coordinator,Coordinator,Los Angeles,3,Paramount,Female,
34/hr (72k base + OT),Production Coordinator,Mid,"Emeryville, CA",7,Pixar,Female,No
"CAD$55,000",Production Coordinator,NA,Vancouver,1,,Female,
$1200 a week,Production Coordinator,Senior,Vancouver,4,,Female,No
"€ 28,000",Production Coordinator,Junior,"Dublin, Ireland",2,Boulder Media,Male,No
"AU$80,000",Production Coordinator,Senior,"Melbourne, Australia",3,Princess Bento Studios,Male,No
"68,640 CAD",Production Coordinator,Senior,Montreal,5,,Male,No
About 3744 / mth USD$,Production Coordinator,Not sure.,"Burbank, CA (USA)",2 years,Netflix Animation,Female,No
"€ 31,444.44",Production Coordinator,Coordinator,Dublin,6,,Female,No
1100CAD/week,Production Coordinator,Junior,Toronto,2,,Female,
25K euros / year,Production Coordinator,Middle,"Lille, France",4,Tchack,Non Binary,No
26.75,Production Coordinator,Na,LA,2,DreamWorks,Female,No
"£35,000",Production coordinator,Junior,London,1,,Male,No
62400.00,Production Coordinator,Senior,Toronto,5,,Female,No
$26.50/hr,Production Coordinator,Senior,Burbank,6,,Female,No
50000CAD$,Production Coordinator,Mid,Montréal,4,,Male,No
950 Canadian weekly,Production coordinator,Intermediate,Toronto,4,,Female,
1250 Canadian weekly,Production Coordinator,Intermediate,Toronto,6 years,,Female,
$1166/wk USD,Production Coordinator,Mid,"Los Angeles, CA",8,Netflix Animation,Male,No
778 USD Monthly ,Production Coordinator,Senior,Mexico,5,Mighty,Female,No
"73,000 CAD / year",Production Coordinator,Senior,Toronto,15+,,Male,No
€180/day Freelance,Production Coordinator,Senior,"German studio, working remotely from UK",3,,Non Binary,No
"2,400 €",Production coordinator,Stage 2,Ireland,4,,Female,There is no union in ireland
52 000$ CAN,Production Coordinator,N/A,Montreal,4,,Female,
$20 per hour,Production Coordinator,N/A,"Los Angeles, CA",2,,Male,No
"24,000 €",Production Coordinator,Mid,Spain,3,,Female,No
"60,000 CAD",Production coordinator,Mid,Vancouver,2,,Male,No
$20.70/hour USD,Production Coordinator,Junior,"Berkeley, California",1,,Female,No
$925/week ($23.12/hr),Production Coordinator,N/A,"Burbank, CA",Less than 1 year,Nickelodeon,Female,No
"€ 35,000",Production Coordinator,Mid,Ireland,3,,Other,No
2300.00,Production Coordinator,Mid,Irleand,3,Lighthouse,Female,no
"54,600 CAD",Production coordinator,Junior,Vancouver ,1,,Female,
$19/hr,Production Coordinator,Junior,Hillsboro,2,LAIKA,Female,No
$25.50 USD an hour ,Production coordinator ,N/A but I’ve been a PC for 5 years ,Los Angeles ,6,Skydance Animation ,Female,I wish 
$800/week,Production Coordinator ,Intermediate ,"Los Angeles, CA",2,Wild Canary ,Female,No
$32.50 per hour CAD,Production Coordinator ,Mid / Senior,Vancouver,5,Wildbrain,Female,no
38000.00,Production coordinator ,Mid ,"Dublin, Ireland ",3,,Female,No
"€ 31,000",Production Coordinator ,N/A,Ireland,3 yearss,,Female,No
42 000 PLN per year (~9350EUR),Production Coordinator ,Mid,Poland,2,,Female,no
55K CAD,Production Coordinator ,Mid,Montreal,4,,Female,No
"48,500 CAD",Production Coordinator ,Junior,Vancouver,2,,Female,No
52000.00,Production Coordinator ,Jnr,Ottawa,2,,Female,No
35$/hr (70k usd/yr) ,Production Coordinator ,Middle,"Los Angeles, CA",3,Netflix,Female,No
$32/hr USD,Production Coordinator ,n/a,SF Bay Area,"2 VFX, 2 animation",Pixar,Female,no
"€2,400/month ",Production Coordinator ,Mid,Ireland,3,Lighthouse Studios ,Female,No
"£32,000",Production Coordinator - 2D Animation,JNR,London,6 months,,Female,YES - BECTU!
"65,000/year USD",Production Coordinator - Commercial,Mid,"New York, NY",2,Hornet,Female,No
$1120/wk USD,Production Coordinator (Design),I lead the department,Burbank,<1 yr,Bento Box Entertainment,Female,No
39.600 euros /year,Production designer,Mid,Ireland,4,,Female,No
3000usd/week,Production Designer (tv/streaming),First time ,Portland ,15 years,,Female,No
"$104,000 /yr (gross income)",Production Manager,Senior,Los Angeles,5,,Female,No
114000 AUD,Production Manager,Senior,Australia,10,,Female,No
$2000/week USD,Production Manager,Manager,"Los Angeles, CA",6,20th Television Animation,Female,No
65000 CAD,Production Manager,n/a,Vancouver,6,,Female,
"€ 40,000",Production manager,Junior ( only started this year),Ireland,5 in production. One in management,Studio Meala,Female,No
50K Euro,Production Manager,Senior,Ireland,5+,,Male,No
65000 CAD,Production Manager,Junior,Montreal,2,,Female,I dont think so?
"76,146 aud per year",Production Manager,Junior,Australia,2 years,,Female,No
"£44,500",Production Manager,Mid,London,2 years (as Manager),,Female,
"88,000 CAD",Production Manager,Senior,"Montreal, Canada",9,,Female,No
AUD $80k,Production Manager,Mid,Sydney,5+ Years,,Female,
$1200 per week USD,Production Manager,Mid,"Atlanta, Georgia USA",7 years,Bento Box Animation Studio,Female,Unfortunately no
70k,Production Manager,Jr,Vancouver,7,,Male,No
180 euros/day (approx 32k/ year),Production Manager,Middle ++,Paris,7,Autour de Minuit,Female,Not yet
1300/week (CAD),Production Manager,Senior,"Toronto, Canada",8,,Female,
NZD$46,Production Manager,Senior,New Zealand,6,,Female,No
"$85,000/Year CAD",Production Manager,Management,Vancouver,8 Years,,Male,no
"70,000 CAD ",Production Manager ,Junior ,Montreal ,4,MPC,Female,No
"3,100 €",Production manager ,Mid,Finland,7,,Other,"Yes, SET ry"
1955 euros,Production manager ,Mid,Belgium ,10,,Female,
$1650 Per Week ,Production Manager ,Senior Management ,Vancouver Island ,12,,Male,No 
1650 weekly,Production Manager ,Mid,"Burbank, Ca",5,Warner Bros Animation ,Female,No
"$66,950/yr",Production supervisor,Mid,"Los Angeles, CA, USA",7,Disney TV Animation,Female,No
"£45,000",Production Supervisor,Mid ,London,4,Blink Ink,Female,No
"$85,000 USD / yr",Production Supervisor,N/A,Los Angeles,9,Skydance ,Female,No
1350 a week salary,Production Supervisor,Senior,Los Angeles,7,,Female,No
~85k/year,production supervisor ,First time,Los Angeles ,"6 years as a coordinator :,) ",Currently Netflix Animation,Female,Nope just in my dreams
"£31,000",Programmer,Mid-Level,Warrington,2,10:10 Games,Male,IWGB
"68,000 CDN (after taxes $52,212 per year)",Project Coordinator,bullshit level,Vancouver,8,WildBrain,Female,no
2200 USD per week,Prop and FX designer,N/A Journeyman,Los Angeles,10,,Female,TAG 839
75000.00,Prop Designer ,Senior ,LA,5,laika,Male,
"1,946 USD/Week",Prop/Character Designer,Junior,"Los Angeles, California",0.5 (First Job),,Female,"Remote work outside of LA, unable to join union"
32.50 US dollars ,Puppet fabricator,Senior,Portland OR,20,,Female,No
24.00,Puppet Fabricator,Mid,Portland OREGON,2,HouseSpecial,Female,No
22.00,Puppet Wrangler,n/a,Portland OR,3,Netflix Animation,Female,no
1650 euros per month,QA tester,junior,Germany,1,,Male,
$35 USD/hour,Real-Time Lighting Artist,Junior,Atlanta (remoting to Los Angeles),9,,Male,
"£27,000",Render and Lighting ,Junior,Southwest England ,44563,,Male,No
$32 USD,Rendering artist,junior,greater seattle area,3,,Female,no
"$65,000 USD annually","Resource Manager, VFX",Production - junior ,NYC,<1,,Female,No :(
$45 an hour/$1800 a week,Retake Compositor (2D),Mid-Senior,"Working remote for LA (live in Atlanta, GA)",8,Titmouse,Female,"not personally due to location, but I work for a union shop"
600rub/hour,Rig and asset artist ,Average,Russia,2,,Female,
68k CAD /year,Rigger,Intermediate,Vancouver,2,ICON,Male,No
"$52,000 + super AUD",Rigger,Junior,QLD,3,,Female,"no, I wish"
"$70,000 AUD",Rigger,Mid,Australia ,3,,Male,No
56000.00,Rigger,Mid+/Senior,London,5,Framestore,Male,No
145€/day,Rigger,Mid,Paris,3,Illumination Macguff,Male,No
93000 USD /year pre-tax,Rigger,Mid,Los Angeles,3,,Female,no :'(
95k CAD,Rigger,Intermediate,Vancouver Canada,2,,Male,
$cad 3200,Rigger 2d,Junior,Brazil,2,,Female,No
58 000$ CAD/y  (28$/h),Rigger 2D,Senior,Montreal,7 (5 rigging),,Female,No Union
$66/hr USD plus 2 bonuses/year ,Rigger and Simulation artist,Senior,"Irvine, CA",11,Blizzard,Female,No
"$87,000 USD pretax",Rigging,Mid,California,10,,Male,no
"75k Salary, AUD",Rigging and CFX,Junior,Sydney,3,,Female,
186000.00,Rigging and Simulation artist,Senior,Los Angeles,16,,Female,no
80000 CAD,Rigging artist,Mid,Montreal Canada,3,Mikros animation,Female,No
110 000$ CAD,Rigging artist,Senior,Vancouver,3,Icon Creative Studio,Male,
"95,000.00 CAD",Rigging Artist,Senior,Vancouver,7,,Other,No
33'000,Rigging artist,Mid ,Dublin,4,Boulder media,Female,Nope
72000 cad annualy,rigging artist,senior,Montreal,10+,,Female,no
£58k,Rigging TD,Senior/Lead,London,44687,,Male,No
70000 CAD,Rigging TD,Junior ,Vancouver,Almost 2,,Female,No
"50,000 AUD ",Rigging TD ,Junior,Sydney Australia ,2,,Female,No
"$52,000 CAD p/year ($23 CAD p/hour aprox) before taxes",Roto Paint Artist,Mid,Montreal,4,Scanline,Female,No
CA$240/day,Scene Planner (2D Harmony),Junior,"Toronto, ON - Canada",1,,Male,
~ 103 £ ,Scene Prep/Build Artist,Junior,UK,0,Blue Zoo,Female,
75000 usd per year,Senior Animator,Senior,"Argentina, but working remotely for USA",15,,Male,No
"115,000 USD",Senior Animator,Senior,California,13,,Male,No
"£45,000",Senior Animator,Senior,UK,7,,Female,No
$150k USD,Senior Animator (3d),Senior,Los Angeles,11,Buck,Male,No
£44k,Senior Gameplay Animator ,Senior,United Kingdom ,8,Sumo Digital,Male,No
"11,50,000/- INR PA ",Senior Gameplay Animator ,Senior ,India,12,-,Female,No
"$135,000 usd",Senior motion designer,Senior,New York City ,13,Google,Female,No
"59,500 USD a year",Senior Motion Graphics Animator,Mid,Boston,10,JoVE,Female,Nope
"£55,000",Senior Motion Graphics Designer,Senior,"London, UK",5,,Male,No
"€ 31,800",Senior Production Coordinator ,Senior ,Ireland ,4,,Female,No
$85K USD,Senior/Lead Animator,Senior,NY,6,,Female,No
£57000/year,Series Director,Senior,London,12,,Female,
$117000.00 Canadian,Series Director,Intermediate,Toronto,28,Industrial Brothers,Male,no
60000 pounds,Series director ,Director ,London,10,,Male,No
"23,000 €",Set dressing,Artist,Madrid,5,Skydance,Female,Soon
16k/year maaax in euros,Short film director...,First film,France,4,,Non Binary,No
230GBP/day,Shot creator,senior,freelance/remote,8,TTF,Male,nop
$32 Per Hr,Shot Creator,Junior,California,1,Day For Night,Male,no
22.00,Silicone Caster / Puppet Fabricator,Mid,"Portland, OR",4,LAIKA,Female,No
28.40,Silicone Caster / Puppet Fabricator (in stop motion animation),Mid Level ,"Portland, Oregon",4,Netflix Animation ,Female,No 
"CAD$56,000/year",Simulation Artist,Mid,Vancouver,3,,Other,No
$42 an hour,Software developer (pipeline),Mid,Los angeles,Almost 2,,Female,
"£90,000",Software engineer,Senior (tech lead),Lindin,10,,Other,No
95000 CND before taxes,Sr designer / animator,Sr ,Vancouver Canada,13,,Male,No
35/hr USD or 1400/wk before tax,Stop Motion Animator,Mid level,LA,5,Stoopid Buddy Stoodios,Female,No
$1500/ week,Stop motion Animator,Animator,Los Angeles ,6,Stoopid Buddy,Male,No
$1800-2000/week USD ,Stop Motion Animator,Senior,"Los Angeles, CA",20+,Freelance,Female,No
"$ 62,000 a year ",Stop Motion Animator ,Regular,"Portland, Oregon",5,,Female,No. Stop motion has no unions 
"£12,000",Stop motion animator ,Junior ,United Kingdom,3 years + post graduate degree,,Male,No
$3450 CAD/month (before tax),Stop motion compositor,Junior,"Vancouver, BC CANADA",2,Independent Studio,Female,No
$17 USD Per Hour,Stop Motion Puppet Maker (Silicone Casting),Junior,Oregon,3,,Female,No
$5.70 USD per hour,Stop-Motion Animator,Junior,Argentina,1,,Male,No
"$1,500-$2,000 per week",Stop-Motion Art Director/Production Designer,Senior,Los Angeles,5 years as Lead but 9 in Stop Motion,,Male,No
$16.13 USD per hour,Stop-Motion Fabricator,Junior,"Portland, OR",0,,Non Binary,
3200/week USD,Story Artist,Mid-high exp,Los Angeles,17,WDAS,Female,Yes
$2200/week,Story Artist,Junior?,"Los Angeles, CA",<1,Skydance Animation ,Female,Yes
$2750/week / $143K per year USD,Story Artist,Senior,"Los Angeles, CA",12,DreamWorks Animation,Female,TAG 839
